Generacion,Mejor individuo,Mejor Fitness
1,[0.11463849 0.39836673 0.38175323 0.03413756 0.00495083 0.05776446],-0.601633421574107
2,[0.11463849 0.39836673 0.38175323 0.03413756 0.00495083 0.05776446],-0.601633421574107
3,[0.11463849 0.39836673 0.38175323 0.03413756 0.00495083 0.05776446],-0.601633421574107
4,[0.11463849 0.39836673 0.38175323 0.03413756 0.00495083 0.05776446],-0.601633421574107
5,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
6,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
7,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
8,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
9,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
10,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
11,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
12,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
13,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
14,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
15,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
16,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
17,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
18,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
19,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
20,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
21,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
22,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
23,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
24,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
25,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
26,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
27,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
28,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
29,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
30,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
31,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
32,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
33,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
34,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
35,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
36,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
37,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
38,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
39,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
40,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
41,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
42,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
43,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
44,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
45,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
46,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
47,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
48,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
49,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
50,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
51,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
52,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
53,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
54,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
55,[0.13972516 0.11416346 0.3721053  0.06384137 0.23994278 0.07262168],-0.6115039737824829
56,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
57,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
58,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
59,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
60,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
61,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
62,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
63,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
64,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
65,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
66,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
67,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
68,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
69,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
70,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
71,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
72,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
73,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
74,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
75,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
76,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
77,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
78,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
79,[0.13972516 0.11416346 0.37296363 0.06384137 0.23994278 0.07262168],-0.6118766762665496
80,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
81,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
82,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
83,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
84,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
85,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
86,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
87,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
88,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
89,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
90,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
91,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
92,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
93,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
94,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
95,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
96,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
97,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
98,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
99,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
100,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
101,[0.08367986 0.11628592 0.38123652 0.1038354  0.23605443 0.08239623],-0.6308173211730336
