Generacion,Mejor individuo,Mejor Fitness,Violaciones
1,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
2,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
3,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
4,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
5,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
6,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
7,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
8,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
9,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
10,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
11,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
12,[0.02531431 0.1275728  0.36832499 0.34306367 0.0150112  0.11176569],-0.6309296348471295,0
13,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
14,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
15,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
16,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
17,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
18,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
19,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
20,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
21,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
22,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
23,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
24,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
25,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
26,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
27,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
28,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
29,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
30,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
31,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
32,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
33,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
34,[0.05167729 0.15486687 0.39976429 0.11307614 0.16086524 0.12506384],-0.6403755653071861,0
35,[0.02297968 0.16054857 0.3872999  0.15692772 0.15667239 0.12125848],-0.6430030467431126,0
36,[0.02297968 0.16054857 0.3872999  0.15692772 0.15667239 0.12125848],-0.6430030467431126,0
37,[0.02297155 0.16046767 0.38727062 0.15682828 0.1564572  0.1210649 ],-0.6434046929842033,0
38,[0.02297155 0.16046767 0.38727062 0.15682828 0.1564572  0.1210649 ],-0.6434046929842033,0
39,[0.05969743 0.1762789  0.39062884 0.16809609 0.14498371 0.05803474],-0.6442364541954796,0
40,[0.05969743 0.1762789  0.39062884 0.16809609 0.14498371 0.05803474],-0.6442364541954796,0
41,[0.01753077 0.15020134 0.38377747 0.15206179 0.18715563 0.10726979],-0.6442703185303754,0
42,[0.01753077 0.15020134 0.38377747 0.15206179 0.18715563 0.10726979],-0.6442703185303754,0
43,[0.02861469 0.1535062  0.38434554 0.1647307  0.16750551 0.10181283],-0.6444762420828724,0
44,[0.01300942 0.17840162 0.39302811 0.17094212 0.14272589 0.11093637],-0.6467860083690847,0
45,[0.01300942 0.17840162 0.39302811 0.17094212 0.14272589 0.11093637],-0.6467860083690847,0
46,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07445931],-0.6515970362493029,0
47,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07445931],-0.6515970362493029,0
48,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07445931],-0.6515970362493029,0
49,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07445931],-0.6515970362493029,0
50,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07445931],-0.6515970362493029,0
51,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07445931],-0.6515970362493029,0
52,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07445931],-0.6515970362493029,0
53,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
54,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
55,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
56,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
57,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
58,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
59,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
60,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
61,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
62,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
63,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
64,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
65,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
66,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
67,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
68,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
69,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
70,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
71,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
72,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
73,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
74,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
75,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
76,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
77,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
78,[0.03126182 0.17000225 0.39005368 0.18201756 0.15450098 0.07434084],-0.6516144835228808,0
79,[0.00554493 0.16307898 0.39929366 0.16907838 0.14275052 0.12125864],-0.6553768129147246,0
80,[0.00554493 0.16307898 0.39929366 0.16907838 0.14275052 0.12125864],-0.6553768129147246,0
81,[0.00554493 0.16307898 0.39929366 0.16907838 0.14275052 0.12125864],-0.6553768129147246,0
82,[0.00554493 0.16307898 0.39929366 0.16907838 0.14275052 0.12125864],-0.6553768129147246,0
83,[0.00554493 0.16307898 0.39929366 0.16907838 0.14275052 0.12125864],-0.6553768129147246,0
84,[0.00554493 0.16307898 0.39991682 0.16907838 0.14275052 0.12125864],-0.6558358721104512,0
85,[0.00554493 0.16307898 0.39991682 0.16907838 0.14275052 0.12125864],-0.6558358721104512,0
86,[0.00554493 0.16307898 0.39991682 0.16907838 0.14275052 0.12125864],-0.6558358721104512,0
87,[0.00554493 0.16307898 0.39991682 0.16907838 0.14275052 0.12125864],-0.6558358721104512,0
88,[0.00554493 0.16307898 0.39991682 0.16907838 0.14275052 0.12125864],-0.6558358721104512,0
89,[0.01576188 0.15929797 0.39778428 0.19137862 0.14137243 0.09387285],-0.6566959873191145,0
90,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
91,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
92,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
93,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
94,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
95,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
96,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
97,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
98,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
99,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
100,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
101,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
102,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
103,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
104,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
105,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
106,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
107,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
108,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
109,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
